permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
DEM190108,VACANT RESIDENTIAL,4234  3RD ST,MCKEESPORT,15132,0,0,0,DEMOLITION AND SITE CLEARANCE SEEK AND STRAW,1200,f,2019-04-18,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.321012,-79.8381872
DEM190112,VACANT RESIDENCE,232 E 14TH AVE,HOMESTEAD,15120,0,0,915,RAZE TWO STORY FRAME DWELLING HAUL AWAY ALL TRASH AND DEBRIS VOID WILL BE CLEANED OUT AND BACK FILLED WITH CLEAN MATERIAL LEVEL THE LOT WITH CONTOUR OF STREET SEED AND STRAW LOT,1500,f,2019-04-28,2019-12-31,2,f,f,2019-12-31,DEMOLITION,40.4037671,-79.9051888
DEM190146,VACANT RESIDENCE,2427 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,840,f,2019-05-13,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4179969,-79.8797879
DEM190147,VACANT RESIDENCE,2111  HUDSON ST,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1069,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.427734,-79.879834
DEM190148,VACANT RESIDENCE,2337 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2220,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4187064,-79.8809338
DEM190149,VACANT RESIDENCE,2611 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1232,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4148414,-79.8765179
DEM190150,VACANT RESIDENCE,7430  DUQUESNE AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2046,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4186307,-79.8867525
DEM190151,VACANT RESIDENCE,2432 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2400,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4173248,-79.8798499
DEM190154,VACANT RESIDENCE,2329 S BRADDOCK AVE,SWISSVALE,15218,0,0,921,REMOVE 1ST FLOOR KITCHEN VINYL FLOORING & EXTERIOR WINDOW AND DOOR CAULKING,150,f,2019-06-06,2020-06-05,3,f,f,2020-06-05,DEMOLITION,40.4188414,-79.8811635
DEM190155,VACANT RESIDENCE,2200  LEHIGH ST,SWISSVALE,15218,0,0,921,REMOVE WINDOW AND DOOR CAULKING,100,f,2019-06-06,2020-06-05,3,f,f,2020-06-05,DEMOLITION,40.4278933,-79.8787591
DEM190234,VACANT STORAGE FACILITY - 84 SYCAMORE STREET,,ETNA,15223,0,0,0,COMPLETE DEMOLITION OF BUILDING,15000,f,2019-09-02,2019-12-31,2,f,t,2019-11-05,DEMOLITION,40.5029699,-79.9500477
DEM190235,VACANT COMMERCIAL BUILDING,512  OHIO RIVER BLVD,AVALON,15202,0,0,937,REMOVE LIGHT GREY TRANSITE PIPE FLUE COLLAR AND GRY CAULKING ON WINDOWS,65,f,2019-08-09,2020-08-01,8,f,f,2020-08-01,DEMOLITION,40.4993501,-80.0725547
DEM190243,NIOSH BUILDING #35 - 626 COCHRAN MILLS ROAD,,PITTSBURGH,15236,0,0,925,REMOVE FROM ROOM 100 WINDOW GLAZING AND TRANSITE PANESL INSIDE FUME HOOD,58,f,2019-09-26,2020-01-16,2,f,f,2020-01-16,DEMOLITION,40.3380768,-79.9789606
DEM190244,VACANT RESIDENCE,214  BLOOMER WAY,PITTSBURGH,15219,0,0,0,NO ACM IDENTIFIED,2000,f,2019-08-14,2020-08-13,2,f,f,2020-08-13,DEMOLITION,40.4477757,-79.9776706
DEM190245,NISOSH BUILDING #104 - 626 COCHRAN MILLS ROAD,,PITTSBURGH,15236,0,0,925,REMOVEAL OF DETERIORATED STRUCTURE,60,f,2019-11-18,2019-12-05,2,f,f,2019-12-05,DEMOLITION,40.3380768,-79.9789606
DEM190246,NIOSH BUILDING 115 - 626 COCHRANS HILLS ROAD,,PITTSBURGH,15236,0,0,925,REMOVE GASKET MATERIAL FROM ROOM 100 & WINDOW GLAZING THROUGHOUT BUILDING,9,f,2019-09-24,2020-01-13,2,f,f,2020-01-13,DEMOLITION,40.3380768,-79.9789606
DEM190248,NIOSH BUILDING 149 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,0,0,925,REMOV WINDOW GLAZING THROUGHOUT BUILDING,96,f,2019-09-20,2019-12-16,2,f,f,2019-12-16,DEMOLITION,40.3380768,-79.9789606
DEM190259,VACANT RESIDENCE,5323  ROSETTA ST,PITTSBURGH,15224,0,0,951,STRUCTUR TO BE RAZED BY MEANS OF HAND WORK AND EXCAVATOR,0,f,2019-09-25,2019-11-18,3,f,f,2019-11-18,DEMOLITION,40.4674742,-79.936909
DEM190270,VACANT RESIDENCE,87  TRANSVAAL AVE,ROSS,15212,0,0,956,REMOVE DUCT PAPER FROM BARROOM,100,f,2019-10-07,2019-12-07,2,f,f,2019-12-07,DEMOLITION,40.493553,-80.0334934
DEM190271,BETTIS ATOMIC POWER LABORATORY,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,15122,0,0,0,PARTIAL DEMOLITION OF A 20'X20' PORTION OF EXISTING BUILDING,20,f,2019-09-23,2020-09-23,2,f,f,2020-09-23,DEMOLITION,40.3560891,-79.8997901
DEM190272,FORMER TAO'S AUTO SERVICE,9235  PERRY HWY,PITTSBURGH,15237,0,0,902,REMOVE INTERIOR WINDOW GLAZING IN GARAGE BAY & FLOOR TILE & MASTIC IN REAR OFFICE,102,f,2019-10-09,2019-12-31,2,f,f,2019-12-31,DEMOLITION,40.5744244,-80.0375337
DEM190274,VACANT COMMERCIAL,6540  LIBRARY RD,SOUTH PARK,15129,0,0,920,NO ACM IDENTIFIED - DEMOLISH STRUCTURE AND GRADE LOT,1200,f,2019-10-18,2019-11-18,2,f,f,2019-11-18,DEMOLITION,40.2867262,-80.0238231
DEM190275,VACANT RETAIL STRUCTURE,6544  LIBRARY RD,SOUTH PARK,15129,0,0,920,NO ACM IDENTIFIED - DEMOLISH BUILDING AND GRADE LOT,1200,f,2019-10-18,2019-11-18,2,f,f,2019-11-18,DEMOLITION,40.2866792,-80.023723
DEM190276,VACANT RESIDENTIAL,711 S NEGLEY AVE,PITTSBURGH,15232,0,0,912,REMOVE FLOOR TILE IN REAR ENTRYWAY ON FIRST FLOOR,36,f,2019-10-21,2019-12-30,2,f,f,2019-12-30,DEMOLITION,40.453136,-79.931325
DEM190277,VACANT RETAIL,6560  LIBRARY RD,SOUTH PARK,15129,0,0,920,REMOVE EXTERIOR MULTI-PANE WINDOW CAULKING & GLAZING AND EXTERIOR ROOF FLASHING FROM SIDE WALL OVERHANG,30,f,2019-10-18,2019-11-26,2,f,f,2019-11-26,DEMOLITION,40.2865383,-80.0234874
DEM190279,VACANT RESIDENCE,6094  BUTLER ST,PITTSBURGH,15201,0,0,961,BUILDING SHALL BE DEMOLISHED HORIZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWEREED TO GROUND THEN LOADED INTO TARPED TRUCKS.  ABATEMENT SUPERVISOR ON SITE DURING DEMOLITION.  WATER TO BE USED FOR DUST SUPPRESSION,0,f,2019-10-22,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4875834,-79.9390976
DEM190281,VACANT RESIDENCE - 121 ENTERPRISE STREET,,PITTSBURGH,15221,0,0,961,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,0,f,2019-10-22,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4368825,-79.8576828
DEM190284,VACANT RESIDENCE,3721  BUTLER ST,PITTSBURGH,15201,0,0,961,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,0,f,2019-10-21,2019-11-20,2,f,f,2019-11-20,DEMOLITION,40.466926,-79.964558
DEM190321,VACANT RESIDENCE,132  BURROWS ST,PITTSBURGH,15213,0,0,935,REMOVE ROOF TAR FROM REAR WALL PARAPET,45,f,2019-11-01,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4391502,-79.9667216
DEM190322,VACANT RESIDENCE,114  BURROWS ST,PITTSBURGH,15213,0,0,935,REMOVE MAIN ROOF BLACK-GREEN FLASHING AND OFF WHITE INSULATION PAPER FROM BASEMENT DUCT,73,f,2019-11-01,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4396237,-79.9668418
DEM190324,VACANT RESIDENCE,2330  PENN AVE,PITTSBURGH,15222,0,0,956,TOTAL DEMOLITION,500,f,2019-11-20,2019-12-31,2,f,f,2019-12-31,DEMOLITION,40.453133,-79.980585
DEM190325,VACANT RESIDENCE,827  LONG ST,MILLVALE,15209,0,0,0,REMOVE WINDOW CAULKING,10,f,2019-11-11,2019-11-25,2,f,f,2019-11-25,DEMOLITION,40.489305,-79.973629
DEM192080,VACANT RESIDENCE,100  BROSVILLE ST,PITTSBURGH,15203,0,0,961,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,0,f,2019-10-22,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4247621,-79.9855402
DME190145,VACANT RESIDENCE,2435 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1560,f,2019-05-13,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.417821,-79.879423
PAA180272,WOODLAND HILLS DICKSON FIELD HOUSE/FALLOUT SHELTER,7301 SCHOYER AVE,SWISSVALE,15218,850,013125,321,REMOVE PLASTER & WINDOW GLAZING FROM FIELD HOUSE/FALLOUT SHELTER AND OUTSIDE DOOR CAULKING.,2300,f,2018-04-24,2108-08-24,2,t,f,2108-08-24,DEMOLITION,40.4234595,-79.8935994
PAA180650,KOPPERS PLANT CLAIRTON PA - AREA 13,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR TANK IN MAP AREA 13 TANKS 32, 31 & 33",15700,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180651,KOPPERS PLANT CLAIRTON PA - AREA 19,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR ROOFING IN MAPE ARE 19 TRANSFER PUMP HOUSE & PIPE INSULATION IN MAP AREA 19 ON TOP OF BUILDING,1625,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180652,KOPPERS PLANT CLAIRTON PA - AREA 12,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR ROOFING MATERIAL FROM MAP AREA 12 PIPE SHOP,3250,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180653,KOPPERS PLANT CLAIRTON PA - AREA 9,300 N STATE ST,CLAIRTON,15025,450,20688,412,REMOVE EXTERIOR ROOFING MATERIAL FROM MAP ARE 9 SEWAGE STATION,250,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180654,KOPPERS PLANT CLAIRTON PA AREA 4,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR GALBESTOS, TRANSITE & PIPE IN MAP AREA 4",4635,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180655,KOPPERS PLANT CLAIRTON PA AREA 29,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE PIPE FROM MAP AREA 29 GENERAL OFFICE BUILDING, EXTERIOR TRANSITE PIPE, FIRE PROOFING, GALBESTOS, EXTERIOR ROOFING MATERIAL & EXTERIOR WINDOW CAULKING FROM MAPE AREA 29",3772,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180656,KOPPERS PLANT CLAIRTON PA EXTERNAL PIPE RACKS,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR PIPE RACKS IN MAP AREAS 2, 7, 19,15, 30",6600,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180657,KOPPERS PLANT CLAIRTON PA - AREA 30,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR GALBESTOS ROOFING AND ROOFING FROM MAP AREA 30 CONTAIINMENT BUILDING,23450,f,2018-11-20,2019-11-20,2,f,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180664,FIREHOUSE #24,1729 MARY ST,PITTSBURGH,15203,200,20366,360,REMOVE FLOOR TILE AND MASTIC FROM STORAGE ROOM/OFFICE,174,t,2018-11-22,2019-11-22,2,t,f,2019-11-22,RENOVATION,40.4263687,-79.9812513
PAA180669,UOP OLD ENGINEERING HALL,3941  OHARA ST,PITTSBURGH,15213,450,4425,316,"REMOVE VAT/ASTIC, TRANSITE & PIPE INSULATION FROM ROOM 513",651,t,2018-11-27,2019-11-27,2,t,f,2019-11-27,RENOVATION,40.4450083,-79.9579922
